,KUERZUNGEN,GDE_NAME,BETRIEBE_TOTAL,KUERZUNGEN_BETRAG_AVG,ABJ_KANTON,GDE_CLEAN
673,5.0,Ponthaux,16,120.56354166666667,FR,Ponthaux
674,12.0,Le Mouret,38,96.86031746031746,FR,Le Mouret
675,2.0,Prez-vers-Noréaz,14,33.112500000000004,FR,Prez-vers-Noréaz
676,13.0,Treyvaux,43,159.16088709677416,FR,Treyvaux
677,7.0,Hauterive (FR),12,227.5597222222222,FR,Hauterive
678,10.0,La Brillaz,21,243.12894736842108,FR,La Brillaz
679,5.0,La Sonnaz,15,243.74166666666665,FR,La Sonnaz
680,39.0,Gibloux,83,105.0777972027972,FR,Gibloux
681,19.0,Courtepin,44,178.42866242038215,FR,Courtepin
682,3.0,Fräschels,13,16.504761904761907,FR,Fräschels
683,5.0,Galmiz,13,133.59326923076924,FR,Galmiz
684,1.0,Gempenach,7,103.35416666666667,FR,Gempenach
685,22.0,Gurmels,46,121.76075949367089,FR,Gurmels
686,8.0,Kerzers,36,45.51061946902656,FR,Kerzers
687,0.0,Kleinbösingen,7,0.0,FR,Kleinbösingen
688,22.0,Misery-Courtion,31,325.319587628866,FR,Misery-Courtion
689,20.0,Murten,69,106.70541666666668,FR,Murten
690,5.0,Ried bei Kerzers,34,75.1504132231405,FR,Ried bei Kerzers
691,0.0,Ulmiz,9,0.0,FR,Ulmiz
692,11.0,Mont-Vully,36,224.98893129770994,FR,Mont-Vully
693,25.0,Alterswil,62,112.4340206185567,FR,Alterswil
694,3.0,Brünisried,11,50.56818181818182,FR,Brünisried
695,36.0,Düdingen,78,287.1269784172662,FR,Düdingen
696,10.0,Giffers,23,298.7572463768116,FR,Giffers
697,6.0,Bösingen,44,74.32960526315792,FR,Bösingen
698,17.0,Heitenried,41,96.63620689655173,FR,Heitenried
699,21.0,Plaffeien,160,27.639999999999997,FR,Plaffeien
700,10.0,Plasselb,55,42.14868421052632,FR,Plasselb
701,9.0,Rechthalten,26,96.66918604651163,FR,Rechthalten
702,14.0,St. Antoni,56,119.41174863387977,FR,St. Antoni
703,10.0,St. Silvester,23,103.25915492957746,FR,St. Silvester
704,22.0,St. Ursen,46,145.3630303030303,FR,St. Ursen
705,15.0,Schmitten (FR),35,182.85234375,FR,Schmitten
